Samples,Theory_n=4,FCS_n=4_mean,FCS_n=4_var,Theory_n=8,FCS_n=8_mean,FCS_n=8_var,Theory_n=10,FCS_n=10_mean,FCS_n=10_var,Theory_n=12,FCS_n=12_mean,FCS_n=12_var,ADFCS_n=4_d=3_mean,ADFCS_n=4_d=3_var,ADFCS_n=4_d=5_mean,ADFCS_n=4_d=5_var,ADFCS_n=4_d=9_mean,ADFCS_n=4_d=9_var,ADFCS_n=4_d=13_mean,ADFCS_n=4_d=13_var,ADFCS_n=8_d=3_mean,ADFCS_n=8_d=3_var,ADFCS_n=8_d=5_mean,ADFCS_n=8_d=5_var,ADFCS_n=8_d=9_mean,ADFCS_n=8_d=9_var,ADFCS_n=8_d=13_mean,ADFCS_n=8_d=13_var,ADFCS_n=10_d=3_mean,ADFCS_n=10_d=3_var,ADFCS_n=10_d=5_mean,ADFCS_n=10_d=5_var,ADFCS_n=10_d=9_mean,ADFCS_n=10_d=9_var,ADFCS_n=10_d=13_mean,ADFCS_n=10_d=13_var,ADFCS_n=12_d=3_mean,ADFCS_n=12_d=3_var,ADFCS_n=12_d=5_mean,ADFCS_n=12_d=5_var,ADFCS_n=12_d=9_mean,ADFCS_n=12_d=9_var,ADFCS_n=12_d=13_mean,ADFCS_n=12_d=13_var
4096.0,-0.95,-0.923,0.01543,-0.1099,-0.01973,0.04654,-0.1858,-0.1381,0.05026,-0.02686,-0.0899,0.1505,-0.972,0.012024,-0.9336,0.01634,-0.932,0.014534,-0.9385,0.010216,-0.1835,0.02216,-0.1425,0.04147,-0.07654,0.06445,-0.1835,0.0417,-0.2438,0.03458,-0.1707,0.04776,-0.169,0.04483,-0.1508,0.0518,0.013695,0.0323,-0.06976,0.03317,0.003016,0.0527,-0.0522,0.08215
8192.0,-0.5849609375,-0.57763671875,0.01010894775390625,0.056488037109375,0.049957275390625,0.03131103515625,-0.0241546630859375,-0.04132080078125,0.04327392578125,0.119384765625,0.0767822265625,0.0587158203125,-0.59521484375,0.00867462158203125,-0.5751953125,0.01061248779296875,-0.537109375,0.007007598876953125,-0.59521484375,0.0096588134765625,-0.0108642578125,0.0102996826171875,0.056640625,0.0130615234375,0.0194244384765625,0.01910400390625,0.03253173828125,0.0281982421875,0.007099151611328125,0.02459716796875,0.03253173828125,0.02276611328125,-0.06884765625,0.0322265625,0.0191802978515625,0.0158233642578125,0.079345703125,0.0206451416015625,0.1168212890625,0.0303192138671875,0.15869140625,0.037139892578125,0.1236572265625,0.028106689453125
16384.0,0.84423828125,0.8515625,0.005031585693359375,-0.01551055908203125,-0.00566864013671875,0.0135955810546875,0.11663818359375,0.0867919921875,0.018157958984375,-0.196533203125,-0.20458984375,0.02044677734375,0.873046875,0.00525665283203125,0.82421875,0.0028209686279296875,0.85009765625,0.006561279296875,0.84619140625,0.004634857177734375,0.0498046875,0.0088348388671875,0.0223541259765625,0.010162353515625,-0.01239013671875,0.0080413818359375,-0.0101165771484375,0.00930023193359375,0.11932373046875,0.006320953369140625,0.1004638671875,0.0090179443359375,0.09326171875,0.01149749755859375,0.09356689453125,0.011749267578125,-0.186767578125,0.01427459716796875,-0.20458984375,0.01100921630859375,-0.1593017578125,0.01328277587890625,-0.22509765625,0.0164642333984375
32768.0,0.04620361328125,0.056427001953125,0.0034046173095703125,0.258544921875,0.264404296875,0.00933837890625,0.119140625,0.1151123046875,0.00720977783203125,-0.064208984375,-0.0552978515625,0.01500701904296875,0.0789794921875,0.00473785400390625,0.05438232421875,0.004024505615234375,0.047515869140625,0.005603790283203125,0.03863525390625,0.0052032470703125,0.274658203125,0.0044097900390625,0.2529296875,0.007602691650390625,0.258056640625,0.00433349609375,0.25439453125,0.006977081298828125,0.09979248046875,0.0032482147216796875,0.09771728515625,0.003917694091796875,0.11383056640625,0.005680084228515625,0.09942626953125,0.007343292236328125,-0.0872802734375,0.004764556884765625,-0.07354736328125,0.00270843505859375,-0.059295654296875,0.0101470947265625,-0.0626220703125,0.0049285888671875
Inf,-0.6748046875,-0.68212890625,0.00463104248046875,0.1700439453125,0.1715087890625,0.0039825439453125,0.06512451171875,0.07196044921875,0.003223419189453125,0.011688232421875,0.0159149169921875,0.0052947998046875,-0.66796875,0.004474639892578125,-0.6767578125,0.00507354736328125,-0.69091796875,0.006381988525390625,-0.65576171875,0.00559234619140625,0.2000732421875,0.0024547576904296875,0.1953125,0.002300262451171875,0.1759033203125,0.003879547119140625,0.18310546875,0.003200531005859375,0.0665283203125,0.0020465850830078125,0.06561279296875,0.0033092498779296875,0.0662841796875,0.003170013427734375,0.05267333984375,0.004116058349609375,0.01450347900390625,0.00237274169921875,0.0159149169921875,0.004062652587890625,0.001979827880859375,0.0034942626953125,0.005725860595703125,0.00342559814453125
